post_id	slug	title	summary	body_md	category	published_at	author	thumb	thumb_fit	images	status
wp-001-pre-matric-hs-scholarship-noti	pre-matric-hs-scholarship-notice	PRE MATRIC (HS) SCHOLARSHIP NOTICE		![](img/posts/screenshot-2026-08-24-22-07-07-62-e2d5b3f32b79de1d45acd1fad9.webp)	Notices	2026-08-24		img/posts/screenshot-2026-08-24-22-07-07-62-e2d5b3f32b79de1d45acd1fad9-thumb.webp	cover	img/posts/screenshot-2026-08-24-22-07-07-62-e2d5b3f32b79de1d45acd1fad9.webp	published
wp-002-post-matric-hss-scholarship-no	post-matric-hss-scholarship-notice	POST MATRIC (HSS) SCHOLARSHIP NOTICE		![](img/posts/screenshot-2026-08-24-22-07-32-61-e2d5b3f32b79de1d45acd1fad9.webp)	Notices	2026-08-24		img/posts/screenshot-2026-08-24-22-07-32-61-e2d5b3f32b79de1d45acd1fad9-thumb.webp	cover	img/posts/screenshot-2026-08-24-22-07-32-61-e2d5b3f32b79de1d45acd1fad9.webp	published
wp-003-principal-in-state-award-a-daw	principal-in-state-award-a-dawng	Principal-in State Award a dawng		Kan Principal ni lai mek, Upa C. Lalhmingmuana chuan Dt. 15th August 2026 (Independence Day) hian Mizoram State Award for Meritorious and Outstanding Teachers 2026 chu a dawng a. BHSS Family chuan kan lawmpuiin kan chhuang tak zet zet a ni.\n\n![](img/posts/sir-muantea-1.webp)\n\n![](img/posts/sir-muantea-2.webp)\n\n![](img/posts/sir-muantea-3.webp)\n\nThe Utmost for the Highest.	News	2026-08-15		img/posts/sir-muantea-1-thumb.webp	cover	img/posts/sir-muantea-1.webp\nimg/posts/sir-muantea-2.webp\nimg/posts/sir-muantea-3.webp	published
wp-004-gospel-meeting-2026	gospel-meeting-2026	Gospel Meeting 2026		Kum tina kan hman ṭhin, hun pawimawh em em mai Gospel Meeting chu Dt. 5th - 7th August 2026 chhûng khan tluang takin kan hmang zo veleh ta a.\n\nSpeaker atân Pu Muansangpuia hman niin hun hlawkthlak tak kan hmang ho thei a, kan lawm hle a ni.\n\nPathian ropui ber rawh se.\n\n![](img/posts/img-20260810-wa00178028504354097931330.webp)\n\n![](img/posts/img-20260810-wa00278446830288012642159.webp)\n\n![](img/posts/img-20260806-wa00148414756158738889488.webp)\n\n![](img/posts/img-20260810-wa00244996659095477950965.webp)\n\nThe Utmost for the Highest.	News	2026-08-07		img/posts/img-20260810-wa0017-scaled-thumb.webp	cover	img/posts/img-20260810-wa00178028504354097931330.webp\nimg/posts/img-20260810-wa00278446830288012642159.webp\nimg/posts/img-20260806-wa00148414756158738889488.webp\nimg/posts/img-20260810-wa00244996659095477950965.webp\nimg/posts/img-20260810-wa0017-scaled.webp	published
wp-005-bhss-result-view-link	bhss-result-view-link	BHSS Result View		**1. Results can be viewed by installing the *'Baptist HSS application'* from Google Playstore on android phones.**\n\nPlaystore Installation Link : [*https://play.google.com/store/apps/details?id=in.baptisthss.app&pcampaignid=web_share*](https://play.google.com/store/apps/details?id=in.baptisthss.app&pcampaignid=web_share)\n\n**2. Results can also be viewed by visiting result website direct link below: **\n\nResult view webpage direct link - [BHSS Results Link](https://portal.baptisthss.in)\n\nThe Utmost for the Highest.	Notices	2026-07-03			cover		published
wp-006-class-xi-commencement-reschedu	class-xi-commencement-rescheduled	Class XI Commencement Rescheduled		![](img/posts/img-20260506-wa00294419072072183027030.webp)\n\n[Commencement of Class XI_102728](#)	Notices	2026-05-06		img/posts/img-20260506-wa00294419072072183027030-thumb.webp	cover	img/posts/img-20260506-wa00294419072072183027030.webp	published
wp-007-xi-admission-2026-27-selected-	xi-admission-2026-27-selected-list	XI Admission 2026-27 Selected List		![](img/posts/arts-a-01.webp)\n\n![](img/posts/arts-a-02.webp)\n\n![](img/posts/arts-a-03.webp)\n\n![](img/posts/arts-b-01.webp)\n\n![](img/posts/arts-b-02.webp)\n\n![](img/posts/arts-b-03.webp)\n\n![](img/posts/science-a-01.webp)\n\n![](img/posts/science-a-02.webp)\n\n![](img/posts/science-a-03.webp)\n\n![](img/posts/science-b-01.webp)\n\n![](img/posts/science-b-02.webp)\n\n![](img/posts/com-01.webp)\n\n![](img/posts/com-02.webp)\n\nPDF File Selected List\n\n[XI Admission 2026-27 Selected List](files/XI-Admission-2026-27-Selected-List-1.pdf)\n\nThe Utmost for the Highest	Admissions	2026-05-05		img/posts/arts-a-01-thumb.webp	cover	img/posts/arts-a-01.webp\nimg/posts/arts-a-02.webp\nimg/posts/arts-a-03.webp\nimg/posts/arts-b-01.webp\nimg/posts/arts-b-02.webp\nimg/posts/arts-b-03.webp\nimg/posts/science-a-01.webp\nimg/posts/science-a-02.webp\nimg/posts/science-a-03.webp\nimg/posts/science-b-01.webp\nimg/posts/science-b-02.webp\nimg/posts/com-01.webp\nimg/posts/com-02.webp	published
wp-008-bhss-hsslc-2025-26-result	bhss-hsslc-2025-26-result	BHSS HSSLC 2025-26 RESULT		Result for the Academic Year 2025-26 has been published.\n\nWe congratulate all the students who have passed the examination. And we wish you all the best for you future.\n\nAnd we would also like to encourage the students who have not yet succeed this year to not give up and make this a stepping stone for your future success.\n\nBelow are the toppers from our school:\n\n![](img/posts/img-20260502-wa00025055308927530541552.webp)\n\n![](img/posts/img-20260502-wa0000828919567756361406.webp)\n\n![](img/posts/img-20260502-wa00018174988044856945994.webp)\n\nThe Utmost for the Highest	News	2026-05-02		img/posts/img-20260502-wa00025055308927530541552-thumb.webp	cover	img/posts/img-20260502-wa00025055308927530541552.webp\nimg/posts/img-20260502-wa0000828919567756361406.webp\nimg/posts/img-20260502-wa00018174988044856945994.webp	published
wp-009-class-xi-2026-27-admission-not	class-xi-2026-27-admission-notice	Class XI 2026-27 Admission Notice		Class XI Admission notice for the Academic session 2026-27 is as follows:-\n\n![](img/posts/screenshot-2026-04-20-22-47-12-48-e2d5b3f32b79de1d45acd1fad9.webp)\n\n(in Mizo)\n\n![](img/posts/screenshot-2026-04-20-22-46-50-54-e2d5b3f32b79de1d45acd1fad9.webp)\n\n(in English)\n\n![](img/posts/img-20260420-wa00154664206602284739922.webp)\n\n---\n\nBHSS : The Utmost for the Highest	Admissions	2026-04-20		img/posts/admission-notice-banner-label-clipart-686319-919-thumb.webp	cover	img/posts/screenshot-2026-04-20-22-47-12-48-e2d5b3f32b79de1d45acd1fad9.webp\nimg/posts/screenshot-2026-04-20-22-46-50-54-e2d5b3f32b79de1d45acd1fad9.webp\nimg/posts/img-20260420-wa00154664206602284739922.webp\nimg/posts/admission-notice-banner-label-clipart-686319-919.webp	published
wp-010-class-ix-selected-list-2026-27	class-ix-selected-list-2026-27	Class IX Selected List 2026-27		![](img/posts/01.webp)\n\n![](img/posts/02-rotated.webp)\n\n![](img/posts/03-rotated.webp)\n\n![](img/posts/04-rotated.webp)\n\n![](img/posts/05.webp)\n\n![](img/posts/06.webp)\n\n![](img/posts/ix-selected-qr-code-2026.webp)\n\nThe Utmost for the Highest	Admissions	2026-03-09		img/posts/01-thumb.webp	cover	img/posts/01.webp\nimg/posts/02-rotated.webp\nimg/posts/03-rotated.webp\nimg/posts/04-rotated.webp\nimg/posts/05.webp\nimg/posts/06.webp\nimg/posts/ix-selected-qr-code-2026.webp	published
